Finish,Start,Task
1855-02-23,1777-04-30,Gauss
1727-03-31,1643-01-04,Isaac Newton
1665-01-12,1607-10-31,Fermat
1240-01-01,1175-01-01,Fibonacci
1954-06-07,1912-06-23,Alan Turing
1716-11-14,1646-07-01,Gottfried Wilhelm Leibniz
1978-01-14,1906-04-28,Kurt Godel
1650-02-11,1596-03-31,Descartes
1813-04-10,1736-01-25,Lagrange
1761-04-07,1701-01-01,Thomas Bayes
2018-01-01,1953-04-11,Andrew Wiles
1783-09-18,1707-04-15,Euler
1866-07-20,1826-09-17,Riemann
1662-08-19,1623-06-19,Blaise Pascal
1832-05-31,1811-10-25,Evariste Galois
1920-04-26,1887-12-22,Ramanujan
1947-12-01,1877-02-07,G. H. Hardy
2015-05-23,1928-06-13,John Forbes Nash
1912-07-17,1854-04-29,Poincare
